GAME_DATE_EST,GAME_SEQUENCE,GAME_ID,GAME_STATUS_ID,GAME_STATUS_TEXT,GAMECODE,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,LIVE_PERIOD,LIVE_PC_TIME,NATL_TV_BROADCASTER_ABBREVIATION,HOME_TV_BROADCASTER_ABBREVIATION,AWAY_TV_BROADCASTER_ABBREVIATION,LIVE_PERIOD_TIME_BCAST,ARENA_NAME,WH_STATUS,WNBA_COMMISSIONER_FLAG
2026-01-06T00:00:00,1,0022500510,1,7:00 pm ET,20260106/CLEIND,1610612754,1610612739,2025,0,,,FDSNIN,FDSNOH/RESN,,Gainbridge Fieldhouse,0,0
2026-01-06T00:00:00,2,0022500511,1,7:00 pm ET,20260106/ORLWAS,1610612764,1610612753,2025,0,,,MNMT,FDSNFL,,Capital One Arena,0,0
2026-01-06T00:00:00,3,0022500512,1,8:00 pm ET,20260106/SASMEM,1610612763,1610612759,2025,0,,,FDSNSE-MEM,FDSNSW,,FedExForum,0,0
2026-01-06T00:00:00,4,0022500513,1,8:00 pm ET,20260106/MIAMIN,1610612750,1610612748,2025,0,,NBC,FDSNNO,,Q0 - NBC,Target Center,0,0
2026-01-06T00:00:00,4,0022500513,1,8:00 pm ET,20260106/MIAMIN,1610612750,1610612748,2025,0,,Peacock,FDSNNO,,Q0 - Peacock,Target Center,0,0
2026-01-06T00:00:00,5,0022500514,1,8:00 pm ET,20260106/LALNOP,1610612740,1610612747,2025,0,,,GCSEN,SPECSN,,Smoothie King Center,0,0
2026-01-06T00:00:00,6,0022500515,1,11:00 pm ET,20260106/DALSAC,1610612758,1610612742,2025,0,,Peacock,,KFAA,Q0 - Peacock,Golden 1 Center,0,0
2026-01-06T00:00:00,6,0022500515,1,11:00 pm ET,20260106/DALSAC,1610612758,1610612742,2025,0,,NBC,,KFAA,Q0 - NBC,Golden 1 Center,0,0
